contractAddress,symbol,decimal
0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6
0x9d39a5de30e57443bff2a8307a4256c8797a3497,sUSDe,18
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,USDe,18
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6

